"","List","Rank","Player_Name","Position","Team","Bye_Week","Best_Rank","Worst_Rank","Ave_Rank","Std_Dev","ADP","Tier","Consistency"
"104",74,74,"Steven Jackson","RB","ATL",9,26,184,77.90196078,24.92675931,91,13,0.278731538327508
"105",75,75,"Cam Newton","QB","CAR",12,45,152,76.1,23.33345238,60,13,0.227840328790226
"106",76,76,"Emmanuel Sanders","WR","DEN",4,44,112,76.2,16.31931371,71,13,0.399061464850938
"107",77,77,"Jay Cutler","QB","CHI",9,46,116,79.17647059,16.65298169,94,13,0.267208930293833
"108",78,78,"Fred Jackson","RB","BUF",9,49,134,79.60784314,14.86419363,97,13,0.330450974390368
"109",79,79,"Julian Edelman","WR","NE",10,54,124,77.3,17.10584695,69,13,0.552003006597812
"110",80,80,"Pierre Thomas","RB","NO",6,59,129,79.96078431,14.07676543,92,13,0.375699397483514
"111",81,81,"Robert Griffin III","QB","WAS",10,39,146,81.43137255,20.35590669,72,13,NA
"112",82,82,"Terrance Williams","WR","DAL",11,58,125,81.64705882,14.76060407,87,13,0.400660066006601
"113",83,83,"Golden Tate","WR","DET",9,52,119,81.66666667,16.33793453,83,13,0.47759059221532
"114",84,84,"Jason Witten","TE","DAL",11,50,115,79.7,12.47116675,55,13,0.379614622726454
"115",85,85,"Maurice Jones-Drew","RB","OAK",5,48,137,83.23529412,16.81221339,81,13,0.296990894637954
"116",86,86,"Greg Olsen","TE","CAR",12,61,110,86.07843137,11.87986125,74,13,0.389597324204971
"117",87,87,"Colin Kaepernick","QB","SF",8,60,166,84.08,18.08849358,76,13,0.335365393326287
"118",88,88,"Stevan Ridley","RB","NE",10,46,170,84.14,22.70331253,89,13,0.452471839799749
"119",89,89,"Reggie Wayne","WR","IND",10,57,131,86.88235294,15.55338316,88,13,0.323550112612612
"120",90,90,"Russell Wilson","QB","SEA",4,46,125,86.84,18.12110372,93,13,0.271181983150845
"121",91,91,"Kyle Rudolph","TE","MIN",10,44,117,85.7755102,16.64057655,80,13,0.502626673445179
"122",92,92,"Jordan Reed","TE","WAS",10,57,121,87.67346939,13.17447711,85,13,0.345289335246293
"123",93,93,"Dennis Pitta","TE","BAL",11,61,126,93.64705882,13.93799087,77,14,0.474807928139445
"124",94,94,"Rueben Randle","WR","NYG",8,54,131,94.21568627,16.6607602,122,14,0.555316664012317
"125",95,95,"Brandin Cooks","WR","NO",6,59,185,95.04,20.98185883,100,14,NA
"126",96,96,"Bernard Pierce","RB","BAL",11,56,155,94.57142857,19.85354541,120,14,0.402639127940333
"127",97,97,"Sammy Watkins","WR","BUF",9,75,153,102.22,13.43322746,98,14,NA
"128",98,98,"Dwayne Bowe","WR","KC",6,79,147,103.92,13.6247422,117,14,0.378675645342312
"129",99,99,"Kelvin Benjamin","WR","CAR",12,56,150,100.9791667,18.273945,123,14,NA
"130",100,100,"Cecil Shorts","WR","JAC",11,66,184,106.08,22.82878884,131,14,0.460484404110824
"131",101,101,"Mike Evans","WR","TB",7,74,199,106.12,19.80367643,115,14,NA
"132",102,102,"Philip Rivers","QB","SD",10,57,150,101.1276596,21.19274968,104,14,0.227119894598156
"133",103,103,"Justin Hunter","WR","TEN",9,66,142,100.8478261,15.3537524,134,14,0.670918028430982
"134",104,104,"Jeremy Hill","RB","CIN",4,68,165,103.7659574,20.34825808,138,14,NA
"135",105,105,"Danny Woodhead","RB","SD",10,68,143,106.0833333,15.83486835,109,14,0.405072619688005
"136",106,106,"Zach Ertz","TE","PHI",7,74,145,106.7083333,15.34459505,110,14,0.505926042983565
"137",107,107,"Mark Ingram","RB","NO",6,56,174,107.8541667,23.36128348,128,14,0.452447261436025
"138",108,108,"Knowshon Moreno","RB","MIA",5,43,190,109.4375,25.13953249,103,14,0.361402492031296
"139",109,109,"DeAndre Hopkins","WR","HOU",10,79,148,109.7291667,14.23133219,125,14,0.427380273660205
"140",110,110,"Ben Roethlisberger","QB","PIT",12,55,149,107.4347826,18.14273381,119,14,0.227106786236725
"141",111,111,"Riley Cooper","WR","PHI",7,54,193,113.7959184,20.874728,111,15,0.545642997135535
"142",112,112,"DeAngelo Williams","RB","CAR",12,72,163,110.7021277,15.83816411,118,14,0.42687706270627
"143",113,113,"Anquan Boldin","WR","SF",8,83,159,114.8163265,17.80354639,114,15,0.377205135309874
"144",114,114,"Terrance West","RB","CLE",4,61,177,117.106383,24.20588467,124,15,NA
"145",115,115,"Darren Sproles","RB","PHI",7,83,152,116.9347826,14.57425093,99,15,0.34445869094969
"146",116,116,"Carlos Hyde","RB","SF",8,73,177,119.0638298,23.25565981,121,15,NA
"147",117,117,"Andy Dalton","QB","CIN",4,67,176,119.4444444,22.16659705,126,15,0.280339509739717
"148",118,118,"Greg Jennings","WR","MIN",10,71,173,120.3777778,20.01920066,156,15,0.400627566794334
"149",119,119,"Martellus Bennett","TE","CHI",9,97,171,124.2978723,15.5110323,116,15,0.511996498381654
"150",120,120,"Markus Wheaton","WR","PIT",12,96,179,124.0217391,17.86481742,160,15,0.759322033898305
"151",121,121,"Darren McFadden","RB","OAK",5,68,163,122.9333333,22.45231985,132,15,0.378879455915405
"152",122,122,"Andre Williams","RB","NYG",8,66,182,123.4,24.45531072,136,15,NA
"153",123,123,"Brian Hartline","WR","MIA",5,98,186,125.7391304,16.03180912,164,15,0.404735998588464
"154",124,124,"Christopher Ivory","RB","NYJ",11,89,165,124.3555556,17.50829081,145,15,NA
"155",125,125,"Hakeem Nicks","WR","IND",10,54,191,125.1333333,21.94396905,133,15,0.411702162462786
"156",126,126,"Shonn Greene","RB","TEN",9,60,191,130.0869565,24.83320541,162,16,0.44342133920577
"157",127,127,"Charles Clay","TE","MIA",5,80,199,131.6382979,21.8470754,147,16,0.582251082251083
"158",128,128,"Devonta Freeman","RB","ATL",9,96,187,125.744186,21.43035559,139,15,NA
"159",129,129,"Ryan Tannehill","QB","MIA",5,67,187,132.8297872,20.7726489,157,16,0.260593734822729
"160",130,130,"Seattle Seahawks","DST","SEA",4,103,205,131.1555556,16.65860546,58,16,NA
