"","X","List","Rank","Player_Name","Position","Team","Bye_Week","Best_Rank","Worst_Rank","Ave_Rank","Std_Dev","ADP","Tier","Consistency","FPTS","FPTSperG"
"94",94,64,64,"Marques Colston","WR","NO",6,30,105,69.68627451,14.14142877,75,12,0.384498222,137.9,8.6
"95",95,65,65,"Vernon Davis","TE","SF",8,34,103,70.03921569,15.25979054,46,12,0.455057373,131.3,8.2
"96",96,66,66,"Kendall Wright","WR","TEN",9,44,97,71.03921569,12.80925031,84,12,0.307909152,132.6,8.3
"97",97,67,67,"Trent Richardson","RB","IND",10,35,138,74.92156863,23.44023952,70,13,0.391086884,151.5,9.5
"98",98,68,68,"Eric Decker","WR","NYJ",11,49,100,75.05882353,13.02247193,90,13,0.466385563,125.9,7.9
"99",99,69,69,"Wes Welker","WR","DEN",4,39,191,76.07843137,27.08580638,53,13,0.321173444,117.6,7.3
"100",100,70,70,"Jeremy Maclin","WR","PHI",7,36,130,76.43137255,16.69596042,73,13,0.434033256,133.1,8.3
"101",101,71,71,"Bishop Sankey","RB","TEN",9,25,199,71.44897959,31.56209379,62,12,NA,153.1,9.6
"102",102,72,72,"Tony Romo","QB","DAL",11,51,118,76.98039216,13.76624202,79,13,0.223378986,281.2,17.6
"103",103,73,73,"Lamar Miller","RB","MIA",5,45,116,74.9,17.3542502,95,13,0.438268793,120.1,7.5
"104",104,74,74,"Steven Jackson","RB","ATL",9,26,184,77.90196078,24.92675931,91,13,0.278731538,130.3,8.1
"105",105,75,75,"Cam Newton","QB","CAR",12,45,152,76.1,23.33345238,60,13,0.227840329,280.8,17.6
"106",106,76,76,"Emmanuel Sanders","WR","DEN",4,44,112,76.2,16.31931371,71,13,0.399061465,146.6,9.2
"107",107,77,77,"Jay Cutler","QB","CHI",9,46,116,79.17647059,16.65298169,94,13,0.26720893,272.4,17
"108",108,78,78,"Fred Jackson","RB","BUF",9,49,134,79.60784314,14.86419363,97,13,0.330450974,133.5,8.3
"109",109,79,79,"Julian Edelman","WR","NE",10,54,124,77.3,17.10584695,69,13,0.552003007,135.9,8.5
"110",110,80,80,"Pierre Thomas","RB","NO",6,59,129,79.96078431,14.07676543,92,13,0.375699397,130.8,8.2
"111",111,81,81,"Robert Griffin III","QB","WAS",10,39,146,81.43137255,20.35590669,72,13,NA,281.5,17.6
"112",112,82,82,"Terrance Williams","WR","DAL",11,58,125,81.64705882,14.76060407,87,13,0.400660066,129.8,8.1
"113",113,83,83,"Golden Tate","WR","DET",9,52,119,81.66666667,16.33793453,83,13,0.477590592,135.2,8.4
"114",114,84,84,"Jason Witten","TE","DAL",11,50,115,79.7,12.47116675,55,13,0.379614623,124.1,7.8
"115",115,85,85,"Maurice Jones-Drew","RB","OAK",5,48,137,83.23529412,16.81221339,81,13,0.296990895,135.8,8.5
"116",116,86,86,"Greg Olsen","TE","CAR",12,61,110,86.07843137,11.87986125,74,13,0.389597324,112.8,7
"117",117,87,87,"Colin Kaepernick","QB","SF",8,60,166,84.08,18.08849358,76,13,0.335365393,293,18.3
"118",118,88,88,"Stevan Ridley","RB","NE",10,46,170,84.14,22.70331253,89,13,0.45247184,148.7,9.3
"119",119,89,89,"Reggie Wayne","WR","IND",10,57,131,86.88235294,15.55338316,88,13,0.323550113,124,7.8
"120",120,90,90,"Russell Wilson","QB","SEA",4,46,125,86.84,18.12110372,93,13,0.271181983,278.3,17.4
"121",121,91,91,"Kyle Rudolph","TE","MIN",10,44,117,85.7755102,16.64057655,80,13,0.502626673,112.1,7
"122",122,92,92,"Jordan Reed","TE","WAS",10,57,121,87.67346939,13.17447711,85,13,0.345289335,115.3,7.2
"123",123,93,93,"Dennis Pitta","TE","BAL",11,61,126,93.64705882,13.93799087,77,14,0.474807928,121.4,7.6
"124",124,94,94,"Rueben Randle","WR","NYG",8,54,131,94.21568627,16.6607602,122,14,0.555316664,115.5,7.2
"125",125,95,95,"Brandin Cooks","WR","NO",6,59,185,95.04,20.98185883,100,14,NA,113,7.1
"126",126,96,96,"Bernard Pierce","RB","BAL",11,56,155,94.57142857,19.85354541,120,14,0.402639128,110.8,6.9
"127",127,97,97,"Sammy Watkins","WR","BUF",9,75,153,102.22,13.43322746,98,14,NA,121.5,7.6
"128",128,98,98,"Dwayne Bowe","WR","KC",6,79,147,103.92,13.6247422,117,14,0.378675645,110.5,6.9
"129",129,99,99,"Kelvin Benjamin","WR","CAR",12,56,150,100.9791667,18.273945,123,14,NA,118.4,7.4
"130",130,100,100,"Cecil Shorts","WR","JAC",11,66,184,106.08,22.82878884,131,14,0.460484404,103.6,6.5
"131",131,101,101,"Mike Evans","WR","TB",7,74,199,106.12,19.80367643,115,14,NA,111.4,7
"132",132,102,102,"Philip Rivers","QB","SD",10,57,150,101.1276596,21.19274968,104,14,0.227119895,266.3,16.6
"133",133,103,103,"Justin Hunter","WR","TEN",9,66,142,100.8478261,15.3537524,134,14,0.670918028,109,6.8
"134",134,104,104,"Jeremy Hill","RB","CIN",4,68,165,103.7659574,20.34825808,138,14,NA,107.8,6.7
"135",135,105,105,"Danny Woodhead","RB","SD",10,68,143,106.0833333,15.83486835,109,14,0.40507262,122.3,7.6
"136",136,106,106,"Zach Ertz","TE","PHI",7,74,145,106.7083333,15.34459505,110,14,0.505926043,105.7,6.6
"137",137,107,107,"Mark Ingram","RB","NO",6,56,174,107.8541667,23.36128348,128,14,0.452447261,98.6,6.2
"138",138,108,108,"Knowshon Moreno","RB","MIA",5,43,190,109.4375,25.13953249,103,14,0.361402492,127.6,8
"139",139,109,109,"DeAndre Hopkins","WR","HOU",10,79,148,109.7291667,14.23133219,125,14,0.427380274,105.4,6.6
"140",140,110,110,"Ben Roethlisberger","QB","PIT",12,55,149,107.4347826,18.14273381,119,14,0.227106786,265.2,16.6
"141",141,111,111,"Riley Cooper","WR","PHI",7,54,193,113.7959184,20.874728,111,15,0.545642997,107.8,6.7
